dataset,recording,location,id,width,TPlat,PAassym,fr,frLog,ratio10ms,ratio10msLog,amp,PTratio,RepSlope,RecSlope,Duration,BurstRatio,BurstRatioLog,DistFromGCtop,DistFromGCbot,ClusterDG,DistanceDG,ClusterCA13,DistanceCA13
1,2,DG,213,0.21333333,0.26666667,1.01185429,12.17288232,1.08539342,0.12200317,-0.91362889,0.20658317,0.47443956,0.03539354,-0.00322987,0.46666667,0.26537292,-0.57614339,28,8,4,7.85662420587344,,0
1,2,DG,214,0.24666667,0.56666667,1.04634643,3.32099202,0.52126783,0.26454378,-0.57750244,0.36344653,0.25782701,0.05155739,-0.0030337,0.8,9.22836288,0.96512466,28,8,3,1.00256271374198,,0
1,2,DG,215,0.20333333,0.4,1.02071476,3.61622362,0.55825528,0.12490789,-0.90341015,0.32546708,0.42848349,0.04760079,-0.00521726,0.66666667,0.50623624,-0.29564677,25,11,4,3.82326058102425,,0
1,2,DG,220,0.17333333,0.23333333,1.04550266,12.97928583,1.1132508,0.14066015,-0.85182894,0.37726727,0.70447922,0.07240637,-0.0113758,0.4,0.56003002,-0.25178869,22,14,2,2.5678521753834,,0
1,2,DG,222,0.36333333,0.53333333,0.98382962,2.42069689,0.38394041,0.24092409,-0.61811977,0.32036433,0.35224193,0.03633014,-0.00386784,0.96666667,17.98319328,1.25486681,21,15,3,2.36786651277768,,0
1,2,DG,223,0.33333333,0.5,1.05039966,1.32770833,0.12310268,0.21920563,-0.65914829,0.26992354,0.41999072,0.03188324,-0.00447738,0.8,25.30017153,1.40312347,21,15,3,1.5571839995932,,0
1,2,DG,227,0.28666667,0.56666667,0.92392945,20.54242696,1.31265175,0.06692123,-1.17443605,0.33693978,0.45020756,0.03953224,-0.00548974,0.8,0.10428385,-0.98178293,17,19,4,1.80479744429508,,0
1,2,DG,229,0.29,0.73333333,-0.42549282,9.31063931,0.9689795,0.00686043,-2.16364861,0.26997927,0.34290528,0.02151324,-0.00350919,0.9,0.01192393,-1.92358075,13,23,4,6.15606480707058,,0
1,2,DG,230,0.14333333,0.16666667,0.99017954,17.31012597,1.23830023,0.15846213,-0.8000745,0.25597453,0.87183094,0.05490694,-0.00812536,0.36666667,0.53878578,-0.26858388,13,23,2,8.7439069365329,,0
1,2,DG,233,0.17666667,0.26666667,0.61338753,10.32360342,1.01383131,0.03606156,-1.44295546,0.29568827,0.4434965,0.05530963,-0.00512107,0.43333333,0.13716496,-0.86275683,10,26,2,5.10809028168794,,0
1,2,DG,235,0.27666667,0.46666667,1.0893364,7.07099766,0.84948069,0.15443943,-0.81124182,0.38104701,0.50273949,0.04055053,-0.00748856,0.76666667,0.40962965,-0.38760861,9,27,4,4.05221889380731,,0
1,2,DG,240,0.14666667,0.16666667,1.06736052,3.0144591,0.4792094,0.02285841,-1.64095396,0.34638387,1.25132298,0.07847149,-0.01753664,0.33333333,0.12461059,-0.90444504,10,26,2,20.6405526843952,,0
1,2,DG,368,0.27666667,0.5,1.16093874,2.46693769,0.39215818,0.22558014,-0.64669914,0.17736538,0.41375014,0.02116293,-0.00258928,0.76666667,14.44089457,1.1595941,10,26,3,2.57308419539613,,0
1,2,DG,392,0.30333333,0.53333333,1.00534368,11.73975245,1.06965894,0.01970109,-1.70550981,0.29624575,0.52762491,0.0262805,-0.00477365,0.93333333,0.02052469,-1.68772349,21,15,4,2.682192077336,,0
1,2,DG,393,0.33666667,0.53333333,0.00724383,1.68764985,0.22728234,0.23444976,-0.62995021,0.28960735,0.18485829,0.02177249,-0.00317509,0.8,12.97619048,1.11314721,22,14,3,2.26202276015716,,0
